section,table_or_appendix,item,manuscript_value,canonical_file,canonical_field,canonical_value,difference,status,comment
"Numerical cross-check","Table 4","All 19 manuscript rows and requested cells","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/table4.csv","row count and target/posterior/diagnostic columns","19 complete canonical rows","N/A","NOT ASSESSABLE","Cell-by-cell comparison requires Table 4 from v28."
"Numerical cross-check","Table 4 text","Median posterior mu SD / target mu","AUDIT BRIEF CLAIM: 32.1%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median(posterior_mu_sd/target_mu)","32.0634341895598%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical aggregate recomputed from 19 rows."
"Numerical cross-check","Table 4 text","Median posterior t0 SD / target t0","AUDIT BRIEF CLAIM: 26.6%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median(posterior_t0_sd/target_t0)","26.5636239771373%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical aggregate recomputed from 19 rows."
"Numerical cross-check","Table 4 text","Median posterior MTT SD / target MTT","AUDIT BRIEF CLAIM: 8.6%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median(posterior_mtt_sd/target_mtt)","8.64992056027487%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Target-normalized SD."
"Numerical cross-check","Table 4 text","Median mu U80","AUDIT BRIEF CLAIM: 40.8%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median((q90-q10)/(2*target_mu))","40.8455673538641%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical aggregate recomputed from 19 rows."
"Numerical cross-check","Table 4 text","Median t0 U80","AUDIT BRIEF CLAIM: 34.2%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median((q90-q10)/(2*target_t0))","34.1908376565887%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical aggregate recomputed from 19 rows."
"Numerical cross-check","Table 4 text","Median MTT U80","AUDIT BRIEF CLAIM: 11.0%","C:/pyage-runs/article-v1/article_package/tables/table4.csv","median((q90-q10)/(2*target_mtt))","10.9750485234457%","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical aggregate recomputed from 19 rows."
"Numerical cross-check","Table 4 text","Median pooled posterior correlation mu-t0","AUDIT BRIEF CLAIM: approximately -0.95","C:/pyage-runs/article-v1/shifted_exponential/chains/case_*_chain_*.npz","median of 19 case-wise pooled row-paired correlations","-0.950562376829497","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Read-only calculation from all five retained chains for each case."
"Numerical cross-check","Table 4 text","Target case","AUDIT BRIEF CLAIM: (10,30)","C:/pyage-runs/article-v1/article_package/tables/table4.csv","case 9 target_mu; target_t0","10; 30","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Unique canonical row."
"Numerical cross-check","Table 4 text","Case (10,30) MTT median [q10-q90]","AUDIT BRIEF CLAIM: 40.27 [37.90-43.74]","C:/pyage-runs/article-v1/article_package/tables/table4.csv","case 9 posterior_mtt_median; q10; q90","40.27493083507471 [37.89844425648734-43.74484358770655]","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical row 9."
"Numerical cross-check","Appendix B","All posterior and diagnostic cells","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/shifted_exponential_posterior_summaries.csv","57 rows: 19 cases x mu/t0/mtt","57 complete canonical rows","N/A","NOT ASSESSABLE","The v28 Appendix B tables are required to compare medians, quantiles, R-hat and ESS cell by cell."
"Numerical cross-check","Appendix C","Wells / fractions","AUDIT BRIEF CLAIM: 7 / 28","C:/pyage-runs/article-v1/article_package/tables/holten_visser_vs_pyage.csv","distinct wells / row count","7 / 28","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Four fractions for each of seven wells."
"Numerical cross-check","Appendix C","Uniform-z MAE","AUDIT BRIEF CLAIM: approximately 0.005455","C:/pyage-runs/article-v1/holten_h4/visser_vs_pyage_h4_metrics.csv","mae","0.005454900679953717","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical current Holten campaign."
"Numerical cross-check","Appendix C","Uniform-z median absolute difference","AUDIT BRIEF CLAIM: approximately 0.003815","C:/pyage-runs/article-v1/holten_h4/visser_vs_pyage_h4_metrics.csv","median_absolute_error","0.0038147795762492505","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical current Holten campaign."
"Numerical cross-check","Appendix C","Uniform-z RMSE","AUDIT BRIEF CLAIM: approximately 0.007046","C:/pyage-runs/article-v1/holten_h4/visser_vs_pyage_h4_metrics.csv","rmse","0.007045820382494235","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical current Holten campaign."
"Numerical cross-check","Appendix C","Uniform-z maximum absolute difference","AUDIT BRIEF CLAIM: approximately 0.017993","C:/pyage-runs/article-v1/holten_h4/visser_vs_pyage_h4_metrics.csv","maximum_absolute_error","0.017993492720799198","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical current Holten campaign."
"Numerical cross-check","Appendix C","Uniform-z fractions within 0.02","AUDIT BRIEF CLAIM: 28 / 28","C:/pyage-runs/article-v1/holten_h4/visser_vs_pyage_h4_metrics.csv","n_error_le_0p02 / n_valid_fractions","28 / 28","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Canonical current Holten campaign."
"Numerical cross-check","Appendix C","Uniform-z maximum standardized residual","AUDIT BRIEF CLAIM: 1.80","C:/pyage-runs/article-v1/article_package/diagnostics/holten_prior_global_metrics.csv","uniform_z.max_absolute_standardized_residual","1.7995269834584595","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Uses the campaign-specific diagnostic definition."
"Numerical cross-check","Appendix C","Dirichlet(1) all aggregate statistics","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/diagnostics/holten_prior_global_metrics.csv","dirichlet_1 row","n=28; MAE=0.007449778065057172; median abs=0.005202970729666384; RMSE=0.009681203964532094; max abs=0.02109854984167281; max abs standardized residual=1.8523684135855618; standardized RMSE=0.7918140522604604","N/A","NOT ASSESSABLE","New canonical Dirichlet(1) campaign, not an older run."
"Numerical cross-check","Appendix C","Dirichlet(1) max split-Rhat / min ESS","AUDIT BRIEF CLAIM: approximately 1.008687 / 909.7","C:/pyage-runs/article-v1/article_package/diagnostics/holten_prior_global_metrics.csv","dirichlet_1.max_split_rhat; min_ess","1.00868747599506 / 909.6698321813973","rounds as claimed; v28 unavailable","NOT ASSESSABLE","Canonical diagnostics."
"Numerical cross-check","Ploemeur","F09 full-record t50 median [q10-q90]","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/ploemeur_shifted_exponential_summary.csv","F09 full_record","4.18214276748354 [1.5347973473410734-8.084426157245694]","N/A","NOT ASSESSABLE","No reinterpretation of F11 was performed."
"Numerical cross-check","Ploemeur","F09 2014-2015-only t50 median [q10-q90]","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/ploemeur_shifted_exponential_summary.csv","F09 2014_2015_independent","13.293199181279455 [6.209902953217556-20.275530815577365]","N/A","NOT ASSESSABLE","Canonical shifted-exponential result."
"Numerical cross-check","Ploemeur","F11 full-record t50 median [q10-q90]","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/ploemeur_shifted_exponential_summary.csv","F11 full_record","85.38361427202526 [84.69608000853371-85.98655860286935]","N/A","NOT ASSESSABLE","Reported without scientific reinterpretation."
"Numerical cross-check","Ploemeur","F11 2014-2015-only t50 median [q10-q90]","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/ploemeur_shifted_exponential_summary.csv","F11 2014_2015_independent","57.403466756850555 [52.564688040862734-61.45252762137039]","N/A","NOT ASSESSABLE","Reported without scientific reinterpretation."
"Numerical cross-check","Ploemeur","Maximum split-Rhat / minimum ESS / chains","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/ploemeur_shifted_exponential_summary.csv; C:/pyage-runs/article-v1/ploemeur_shifted_exponential/manifest.json","max(max_split_rhat); min(min_ESS); protocol.chains","1.0040421643594268 / 1741.1246183425499 / 5","N/A","NOT ASSESSABLE","Across the four shifted-exponential calibrations."
"Numerical cross-check","Ploemeur","Observation counts by well/calibration/tracer","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/diagnostics/ploemeur_tracer_fit.csv","observations","F09 full: 19/21/21; F09 window: 2/3/3; F11 full: 23/23/23; F11 window: 2/2/2 for cfc11/cfc12/cfc113","N/A","NOT ASSESSABLE","Only relevant if v28 reports these counts."
"Numerical cross-check","Appendix A","Fresh forward case count","AUDIT BRIEF CLAIM: 270","C:/pyage-runs/article-v1/forward/summary.json","case_count","270","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Campaign status remains measured_not_yet_qualified."
"Numerical cross-check","Appendix A","Cases per family","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","families.*.case_count","PFM=45; EMM=45; EPM=90; DM=90","N/A","NOT ASSESSABLE","Totals 270."
"Numerical cross-check","Appendix A","PFM metrics","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","families.PFM","bias=-1.1172298574254291e-14; MAE=1.449892049072433e-13; RMSE=2.6976752213921954e-13; max abs=5.115907697472721e-13; max symmetric relative=0.03278688524590153","N/A","NOT ASSESSABLE","Canonical current forward campaign."
"Numerical cross-check","Appendix A","EMM metrics","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","families.EMM","bias=0.0001688873578763962; MAE=0.00027842080235354876; RMSE=0.0007249761782995034; max abs=0.0029217953197715474; max symmetric relative=0.08003512339022457","N/A","NOT ASSESSABLE","Canonical current forward campaign."
"Numerical cross-check","Appendix A","EPM metrics","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","families.EPM","bias=0.0001882927543092967; MAE=0.00029875060170673134; RMSE=0.000990181925941624; max abs=0.006123680040168722; max symmetric relative=0.04440892098500626","N/A","NOT ASSESSABLE","Canonical current forward campaign."
"Numerical cross-check","Appendix A","DM metrics","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","families.DM","bias=0.00029412441848293764; MAE=0.0003325549353834; RMSE=0.0009711236140374849; max abs=0.006106885850122978; max symmetric relative=0.02220446049250313","N/A","NOT ASSESSABLE","Canonical current forward campaign."
"Numerical cross-check","Appendix A","Qualification status","UNAVAILABLE","C:/pyage-runs/article-v1/forward/summary.json","status; note","measured_not_yet_qualified; no pass/fail threshold applied before convergence study","N/A","NOT ASSESSABLE","The report does not upgrade this status."
"Numerical cross-check","Appendix A","Historical 133-case experiment is labelled distinct","UNAVAILABLE","C:/codes/pyage/docs/reports/data/convolution_grid_sensitivity_2026-08-26.csv","historical row count","133","N/A","NOT ASSESSABLE","The wording in v28 cannot be checked."
